visit_id,total_time_diff,client_id,variation
104561734_15618293043_834527,17.0,7614662,Control
104573440_30922831299_26449,54.0,8866119,Test
104600854_54570236968_577535,104.0,7187827,Test
104604981_52018008817_489927,226.0,2781778,Control
104607553_63113543212_684641,192.0,4292744,Test
104609860_39786720919_506291,29.0,1600479,Test
104611358_99312923751_651012,959.0,6599771,Control
104626827_5217551345_835814,258.0,4783870,Test
104629663_11646004013_508037,167.0,7813768,Control
10463399_86967089664_748023,1164.0,45485,Test
104648703_38088655862_963517,96.0,4851774,Test
104671112_72226641226_692067,252.0,3682583,Test
104678659_36278223108_614428,321.0,5037795,Control
104683420_95145670621_124388,1094.0,6751070,Test
104692670_75667241605_479940,98.0,5172248,Test
104705023_95620564777_593551,22.0,7010100,Test
104710911_72306734784_450595,221.0,3091233,Test
104712046_60126982288_337420,1238.0,3123323,Control
104713695_45224189972_256336,0.0,4625824,Control
104734418_18768854589_912405,462.0,6947786,Test
104759010_79418548877_133125,100.0,5136874,Test
104759490_32926825705_39628,152.0,5984123,Test
104764150_73283869932_951741,395.0,3636637,Test
104771695_29531939894_162247,110.0,6435592,Test
104776692_31910584761_228392,121.0,4988214,Test
104779581_5871971578_957356,12.0,4836017,Control
104805821_49529469720_441232,86.0,1132034,Test
104807765_77625325003_191943,0.0,5585124,Test
104815984_48743056662_416310,288.0,8165914,Test
104853864_15340926053_27153,446.0,9193304,Test
10485582_53453454481_438325,0.0,313261,Control
10486918_82817683707_804371,160.0,7240019,Test
104874051_46248484407_868424,10.0,5503836,Control
104893454_90760084160_255538,0.0,9896387,Control
104896416_75722393196_689072,42.0,2386196,Test
104904175_28577721463_608061,312.0,2976498,Test
104919806_96804405687_501195,417.0,7464120,Test
104944548_40883139441_93173,188.0,3669767,Control
104971026_26405371271_631532,63.0,9230222,Test
104977399_88468958887_125871,1164.0,5995702,Test
104984137_13056803769_910973,0.0,5746657,Control
105021761_97762713751_883613,1796.0,428188,Control
105029903_87788497968_464510,0.0,5823990,Control
105048078_55050699627_845365,159.0,7197684,Control
105052451_60790410291_962728,142.0,1109486,Test
105090713_48098327093_411060,5.0,7584405,Test
105091881_38847710974_589990,235.0,466142,Control
105120777_71749834736_17256,294.0,6934467,Test
105125451_97139103576_888733,188.0,5945765,Test
105130144_88070617597_601122,337.0,693478,Test
105130588_83395941950_968824,195.0,6856615,Control
105184438_82572170937_625454,0.0,743500,Test
105189986_65940289745_70685,0.0,4950671,Test
105213573_6959115113_374761,250.0,8760347,Test
105222844_74154967745_766885,0.0,2686820,Control
105231784_73768895001_439276,199.0,8056722,Control
105252692_84267414832_344877,345.0,2753644,Test
10525585_16624908258_755243,156.0,9587164,Control
105267422_78903782197_367795,345.0,9402694,Control
105297786_29621496747_670454,214.0,7950621,Test
105310597_44245617177_116573,100.0,7498356,Control
10533296_19342141188_838522,445.0,8713813,Test
105351405_51853757122_157297,0.0,1913034,Control
105356822_18107865160_411243,365.0,2471147,Control
105397247_2189954903_518088,265.0,3696592,Control
105429711_80835396569_655126,74.0,3492371,Control
105450483_7512094596_788141,0.0,1611437,Control
105458872_73633905256_530797,949.0,34067,Control
105458894_14199333129_3131,273.0,5096171,Control
105462273_67494302373_957890,209.0,2821646,Test
105463936_33665073256_202725,89.0,4121100,Control
105528198_88476234988_704586,2556.0,4077197,Test
105559792_63874509233_764714,7.0,5100305,Test
105562619_26580127431_303548,41.0,7391530,Test
10556427_59314261366_450199,186.0,2886145,Test
105564674_95442780237_285500,99.0,4861885,Control
10557984_74046296909_674197,190.0,2508692,Test
105638531_66120099772_582488,84.0,3376992,Test
105642856_37220704300_234639,0.0,6747982,Control
105654856_27538576603_148503,183.0,1532540,Test
10566599_45587295025_172827,17.0,5728657,Control
105682428_52007266588_875444,0.0,8586150,Test
105687916_37056975038_128942,357.0,5013337,Control
105697291_47606343533_645350,646.0,3275853,Control
105697603_42362617011_929945,189.0,4564157,Test
105699523_64156824462_799517,23.0,995709,Test
105713435_18275303055_967670,299.0,1715849,Test
105716156_71220350745_747217,0.0,728589,Test
105716721_80700316781_770303,886.0,7389040,Test
105727237_33299933441_343945,1182.0,1433050,Control
105731649_83555448762_981216,0.0,608061,Test
105733065_54467481472_535394,826.0,2194589,Test
105742024_85246754194_412258,12.0,5730234,Control
10577637_54025840873_943862,167.0,295858,Test
105779011_74310922511_16797,46.0,6448159,Control
10579635_39481463812_262571,532.0,7365874,Test
105846899_46106521051_46180,173.0,3287793,Test
105846921_33921978329_667378,527.0,7990566,Control
105849068_17000709084_830710,160.0,6765412,Control
10584945_46072439356_160342,144.0,4270488,Test
105862321_36551903844_939043,0.0,689760,Control
105869340_73426603366_346966,108.0,7122738,Test
105877223_61802077621_417951,165.0,3171521,Control
105884506_98727663787_454237,722.0,5711340,Test
105885941_28403377963_508699,28.0,8789984,Test
1058878_6068392397_212360,846.0,5120012,Control
1059370_91798102316_778136,0.0,1160323,Test
105973947_88322987006_257781,141.0,8484054,Test
105981591_70237515451_29158,412.0,6665261,Control
105998803_62630916167_181478,338.0,8929415,Control
105999073_77773384891_217157,279.0,1062464,Test
106001304_58473891975_988259,186.0,4238188,Test
106006949_19302036601_135335,123.0,7266655,Test
106014124_52918172004_518837,0.0,5682010,Control
106020402_81964804358_151571,844.0,3009588,Control
106020983_93181100604_585693,64.0,9441095,Control
106024454_57984502700_991263,0.0,2720367,Control
106039644_54416841163_187238,27.0,4579542,Control
106052429_14824196356_905818,264.0,4903514,Test
106062830_23704503289_392883,220.0,5374819,Control
106063612_44887943452_881713,146.0,5731029,Test
106077428_2572724392_430646,146.0,2406034,Control
106135460_7780027275_359695,10.0,4834621,Control
106145543_80076286901_797889,4.0,5488621,Control
106158354_34890877097_430348,0.0,9382169,Control
106159737_63034228854_430947,0.0,3923641,Test
106162458_13073625157_259055,189.0,9499259,Control
106166026_65762982131_718523,119.0,2403780,Test
106169276_92801217913_772633,46.0,4809145,Test
106185096_47057462651_445214,0.0,6831637,Test
106188542_73791453439_396070,417.0,6905898,Control
106209844_29458873765_979034,378.0,5251466,Test
106220538_39932157904_500054,0.0,2129470,Test
106221391_55485370533_288682,218.0,7582539,Control
106230609_98155655442_299610,67.0,4926147,Control
106232894_58365287236_311352,120.0,9278443,Control
106238467_17042749881_660710,143.0,6990863,Test
106264914_49585476195_879523,625.0,1589303,Test
10628788_64867837632_58583,279.0,3454682,Test
106288735_5496759638_969218,170.0,8608653,Control
106291332_52075654336_115876,335.0,3235299,Test
106291506_73338568134_866530,0.0,7249843,Control
106292075_94878957222_708923,487.0,1980260,Test
106379446_67121530348_419079,205.0,3830756,Test
106392375_63078373438_245579,0.0,8075262,Test
106405017_42183028634_631400,410.0,6371350,Test
106448779_70353020907_405440,96.0,4332256,Control
106465765_51525981109_216333,0.0,2130483,Control
106487671_69415336021_642584,336.0,3564176,Control
106506438_80982910196_874581,247.0,3829697,Control
106516319_17231742424_451640,124.0,3673896,Control
106530045_50715786080_839962,828.0,8029833,Control
106537849_47975457596_14701,0.0,4097570,Test
106539194_44506273146_830318,297.0,858693,Test
10654808_96674023203_858549,0.0,5698909,Test
106562908_15410746460_945284,338.0,5065123,Test
106573888_98797701613_129572,0.0,8366482,Control
106588504_5828543624_414168,140.0,5524226,Control
106610175_69651082283_22181,134.0,5048549,Control
106610261_26517700947_566412,469.0,2528424,Test
106616352_49336215172_500698,116.0,1414990,Test
106655969_13360877421_676015,149.0,5984207,Test
10666445_47648151759_429171,130.0,8754295,Test
10666472_64900029009_985898,157.0,1557476,Control
106679528_83928157480_253697,328.0,6316179,Control
106710338_71972000759_983488,0.0,5883791,Test
106726400_1469041131_435314,488.0,2158797,Test
106728830_24796395479_680506,273.0,4766428,Control
106742846_97029063001_192846,225.0,1821665,Control
106749425_84660712069_228934,118.0,7175242,Control
106755864_17709221562_123972,991.0,6082967,Test
10676122_67167455707_769155,108.0,911666,Test
106762185_22787047103_166209,796.0,1230381,Control
10676892_62797396948_321032,238.0,1206454,Control
106770051_83279918981_813844,240.0,5572179,Test
106783340_67160939993_400118,10.0,5802200,Test
106792523_73817709529_506584,35.0,9128690,Test
106805459_62507842156_488717,132.0,1623788,Control
106809676_34736821159_772023,232.0,9290967,Control
106826657_95543215217_629913,178.0,952673,Test
106853793_982983940_670658,292.0,2815061,Control
10685813_76496105820_934269,198.0,3689164,Control
106897939_29179246579_37375,241.0,4947503,Test
106902917_81957236384_554805,59.0,6283100,Test
106910574_28821082112_739895,22.0,8013243,Control
10691547_6905772212_536480,477.0,8522955,Control
106922750_68558794930_556119,24.0,5251076,Test
106932889_27477532533_224509,186.0,5249149,Test
106955044_72064422285_844262,52.0,7699312,Control
106968600_35541941103_414378,93.0,3183559,Test
10697014_45753702789_330913,141.0,1465875,Test
106973227_30712029071_656405,806.0,1997443,Control
106979248_15640946710_142957,201.0,3098610,Test
106991823_36926773912_894581,376.0,6999674,Control
106995782_27030237984_327384,0.0,2989013,Control
107013155_69152812489_518523,0.0,9296252,Control
10701368_33671322700_675209,518.0,1558503,Control
107016836_86308944528_107226,14.0,2858890,Control
107017601_40884182565_619030,692.0,8352329,Test
1070340_64433955447_943502,82.0,3252191,Control
107045394_54554679852_519448,130.0,6490503,Control
107057773_80466562830_732923,156.0,5900728,Test
10708236_91239323295_576087,17.0,4645740,Control
107084877_94470350214_30033,109.0,2200120,Control
107090185_43642799759_974372,566.0,823619,Test
10709556_76578529756_76098,204.0,4495039,Test
107101222_33639192678_690000,34.0,9606483,Control
107117937_86456185680_313223,5.0,4350047,Control
107155014_47962012202_430208,938.0,4351510,Test
107164308_54379907577_931356,53.0,4346633,Test
107180563_67256983369_744022,142.0,1560366,Test
10721468_20141279440_61193,1386.0,7025660,Control
107222483_8242134100_684417,373.0,7266624,Control
10723739_49503519120_612119,366.0,7571586,Test
107237727_91762311046_263033,0.0,8142946,Test
107245514_55200399787_241606,309.0,525448,Test
107248528_50766485563_829656,76.0,1629940,Test
107274022_89936223710_343741,330.0,6890085,Test
107287518_41090694585_807317,0.0,2725837,Control
107290136_69024949502_534009,374.0,5929749,Test
107291547_22481134147_322645,356.0,5563273,Control
107308465_99903699378_206354,2148.0,6917834,Test
107318503_1037435306_176414,17.0,3909321,Test
107325144_83643998565_768712,0.0,1152097,Test
10736492_51772568397_109044,176.0,9165808,Control
107388830_92934484836_986365,235.0,5384175,Test
107393943_50695598510_39093,87.0,4143163,Test
107405670_56974328889_420437,361.0,3607797,Test
